name,image
"Jamila رايبي","https://images.openfoodfacts.org/images/products/611/103/200/6619/front_fr.69.400.jpg"
"Eau","https://images.openfoodfacts.org/images/products/611/125/142/0166/front_en.51.400.jpg"
"Aquafina 50cl","https://images.openfoodfacts.org/images/products/611/125/242/1575/front_fr.19.400.jpg"
"sauce tomate cuisinée","https://images.openfoodfacts.org/images/products/844/529/061/5350/front_fr.18.400.jpg"
"Coke Zero","https://images.openfoodfacts.org/images/products/544/900/021/4799/front_en.326.400.jpg"
"Sable coco Henry s 42g","https://images.openfoodfacts.org/images/products/336/260/001/1228/front_fr.38.400.jpg"
"BEANZ In a rich tomato sauce","https://images.openfoodfacts.org/images/products/500/015/702/4671/front_en.408.400.jpg"
"Aïn Atlas 50cl","https://images.openfoodfacts.org/images/products/611/103/500/1673/front_fr.3.400.jpg"
"Nussmix","https://images.openfoodfacts.org/images/products/000/002/004/7238/front_en.608.400.jpg"
"Hafer Milch","https://images.openfoodfacts.org/images/products/541/118/812/4689/front_en.455.400.jpg"
"Barista Edition Oat Drink","https://images.openfoodfacts.org/images/products/739/437/661/6228/front_en.197.400.jpg"
"Lait U.H.T entier","https://images.openfoodfacts.org/images/products/611/125/047/0742/front_fr.29.400.jpg"
"margarine la prairie 225g","https://images.openfoodfacts.org/images/products/611/120/300/1467/front_fr.24.400.jpg"
"Tartine croustillante Authentique","https://images.openfoodfacts.org/images/products/730/040/048/1595/front_fr.242.400.jpg"
"Excellence Noir Intense 70% Cacao","https://images.openfoodfacts.org/images/products/304/692/002/2651/front_en.159.400.jpg"
"Familia 200g","https://images.openfoodfacts.org/images/products/611/103/700/0599/front_fr.31.400.jpg"
"Star vinaigre de table BLANC","https://images.openfoodfacts.org/images/products/611/118/400/1661/front_fr.22.400.jpg"
"Nocciolata","https://images.openfoodfacts.org/images/products/805/257/509/0230/front_en.58.400.jpg"
"Pâte à tartiner noisettes et cacao","https://images.openfoodfacts.org/images/products/360/858/006/5340/front_en.50.400.jpg"
"Lightly sea salted crisps","https://images.openfoodfacts.org/images/products/506/004/264/1000/front_en.179.400.jpg"
"Weetabix","https://images.openfoodfacts.org/images/products/501/002/900/0016/front_en.44.400.jpg"
"Dark chocolate","https://images.openfoodfacts.org/images/products/762/221/058/4724/front_en.95.400.jpg"
"Eau Minérale Naturelle","https://images.openfoodfacts.org/images/products/305/764/025/7773/front_en.343.400.jpg"
"Filets de maquereau","https://images.openfoodfacts.org/images/products/611/116/200/1218/front_fr.16.400.jpg"
